id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
27,"Bayesian Updating",mental-models,ARTIFACTS_READY,detailed,"LessWrong",high,43,contexts/patterns/bayesian-updating/SKILL.md,"Systematically revise beliefs as new evidence arrives - Practitioner 9/10, Clarity 8/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
28,"Aumann's Agreement Theorem",mental-models,ARTIFACTS_READY,detailed,"LessWrong",medium,35,contexts/patterns/aumann-agreement-theorem/SKILL.md,"Rational agents with common priors cannot agree to disagree - Practitioner 6/10, Clarity 7/10, ROI 7/10, Novelty 8/10, Cross-domain 7/10"
29,"Schelling Fence",mental-models,ARTIFACTS_READY,detailed,"LessWrong - Scott Alexander",high,45,contexts/patterns/schelling-fence/SKILL.md,"Defend conspicuous boundaries to prevent slippery slopes - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 8/10, Cross-domain 10/10"
30,"Hyperbolic Discounting",mental-models,ARTIFACTS_READY,detailed,"LessWrong - Behavioral Economics",high,43,contexts/patterns/hyperbolic-discounting/SKILL.md,"Preference for smaller immediate rewards over larger future rewards, revealing time-inconsistent decision-making patterns - Practitioner 8/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
31,"Scope Insensitivity",mental-models,ARTIFACTS_READY,detailed,"LessWrong - Paul Slovic",high,42,contexts/patterns/scope-insensitivity/SKILL.md,"Emotional and economic responses fail to scale proportionally with problem magnitude, treating vastly different scales similarly - Practitioner 8/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 9/10"
32,"Affect Heuristic",mental-models,ARTIFACTS_READY,detailed,"LessWrong - Paul Slovic",high,44,contexts/patterns/affect-heuristic/SKILL.md,"Using emotional responses as rapid information shortcuts to judge risks and benefits, often overriding analytical reasoning - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
33,"Absurdity Heuristic",mental-models,ARTIFACTS_READY,detailed,"LessWrong",high,39,contexts/patterns/absurdity-heuristic/SKILL.md,"Classify highly unusual situations as impossible - but beware of rejecting valid predictions - Practitioner 7/10, Clarity 8/10, ROI 7/10, Novelty 8/10, Cross-domain 9/10"
34,"Occam's Razor",mental-models,ARTIFACTS_READY,detailed,"Philosophical Razors",high,43,contexts/patterns/occams-razor/SKILL.md,"Prefer simpler explanations with fewer assumptions over complex ones - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 6/10, Cross-domain 10/10"
35,"Hanlon's Razor",mental-models,ARTIFACTS_READY,detailed,"Philosophical Razors",high,45,contexts/patterns/hanlons-razor/SKILL.md,"Never attribute to malice that which is adequately explained by incompetence - Practitioner 9/10, Clarity 10/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
36,"Hitchens's Razor",mental-models,ARTIFACTS_READY,detailed,"Philosophical Razors",high,41,contexts/patterns/hitchens-razor/SKILL.md,"What can be asserted without evidence can be dismissed without evidence - Practitioner 8/10, Clarity 9/10, ROI 8/10, Novelty 7/10, Cross-domain 9/10"
37,"Hume's Guillotine",mental-models,ARTIFACTS_READY,detailed,"Philosophical Razors - David Hume",high,44,contexts/patterns/humes-guillotine/SKILL.md,"Cannot derive ought from is without bridging logic - Practitioner 9/10, Clarity 9/10, ROI 8/10, Novelty 8/10, Cross-domain 10/10"
38,"Alder's Razor",mental-models,ARTIFACTS_READY,detailed,"Philosophical Razors - Mike Alder",high,43,contexts/patterns/alders-razor/SKILL.md,"What cannot be settled by experiment is not worth debating - Practitioner 9/10, Clarity 9/10, ROI 8/10, Novelty 8/10, Cross-domain 9/10"
39,"Grice's Razor (Principle of Charity)",mental-models,ARTIFACTS_READY,detailed,"Philosophical Razors - Paul Grice",high,44,contexts/patterns/grices-razor/SKILL.md,"Interpret others' statements in best possible light - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
40,"Popper's Falsifiability",mental-models,ARTIFACTS_READY,detailed,"Karl Popper",high,46,contexts/patterns/poppers-falsifiability/SKILL.md,"Scientific theories must be testable and capable of being proven false - Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 8/10, Cross-domain 10/10"
41,"Sagan Standard",mental-models,ARTIFACTS_READY,detailed,"Carl Sagan",high,45,contexts/patterns/sagan-standard/SKILL.md,"Extraordinary claims require extraordinary evidence—the more unusual the assertion, the stronger the proof needed - Practitioner 9/10, Clarity 10/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
42,"Lindy Effect",mental-models,ARTIFACTS_READY,detailed,"Nassim Taleb",high,45,contexts/patterns/lindy-effect/SKILL.md,"Future life expectancy proportional to current age for non-perishable items - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 8/10, Cross-domain 10/10"
43,"Antifragility",mental-models,ARTIFACTS_READY,detailed,"Nassim Taleb",high,46,contexts/patterns/antifragility/SKILL.md,"Systems that gain strength from shocks and volatility - Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 8/10, Cross-domain 10/10"
44,"Ergodicity",mental-models,ARTIFACTS_READY,detailed,"Nassim Taleb",high,47,contexts/patterns/ergodicity/SKILL.md,"When time average ≠ ensemble average - critical for risk assessment - Practitioner 10/10, Clarity 8/10, ROI 10/10, Novelty 9/10, Cross-domain 10/10"
45,"Via Negativa",mental-models,ARTIFACTS_READY,detailed,"Nassim Taleb",high,46,contexts/patterns/via-negativa/SKILL.md,"Knowledge through subtraction - focus on what to avoid - Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 8/10, Cross-domain 10/10"
46,"Goodhart's Law",mental-models,ARTIFACTS_READY,complete,"Charles Goodhart",high,45,"contexts/patterns/goodharts-law/SKILL.md","SKILL.md generated 2025-12-10, 158 lines"
47,"Chesterton's Fence",mental-models,ARTIFACTS_READY,complete,"G.K. Chesterton",high,44,"contexts/patterns/chestertons-fence/SKILL.md","SKILL.md generated 2025-12-10, 156 lines"
48,"Pre-mortem Analysis",mental-models,VAGUE,partial,"Gary Klein",high,0,,"Imagine failure before project starts to identify risks"
49,"Red Team/Blue Team",mental-models,VAGUE,partial,"Military/Security",high,0,,"Adversarial testing methodology"
