id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
11,"Nested Doll (TRIZ Principle)",mental-models,ARTIFACTS_READY,detailed,"Genrich Altshuller - TRIZ",high,39,contexts/patterns/triz-nested-doll/SKILL.md,"Nest objects inside each other for compactness - Practitioner 9/10, Clarity 8/10, ROI 8/10, Novelty 6/10, Cross-domain 8/10"
12,"Inversion (TRIZ Principle)",mental-models,ARTIFACTS_READY,detailed,"Genrich Altshuller - TRIZ",high,39,contexts/patterns/triz-inversion/SKILL.md,"Reverse actions/properties to solve problems - Practitioner 9/10, Clarity 8/10, ROI 8/10, Novelty 6/10, Cross-domain 8/10"
13,"Beforehand Cushioning (TRIZ Principle)",mental-models,ARTIFACTS_READY,detailed,"Genrich Altshuller - TRIZ",high,39,contexts/patterns/triz-beforehand-cushioning/SKILL.md,"Prepare emergency measures before failure - Practitioner 9/10, Clarity 8/10, ROI 8/10, Novelty 6/10, Cross-domain 8/10"
14,"Intermediary (TRIZ Principle)",mental-models,ARTIFACTS_READY,detailed,"Genrich Altshuller - TRIZ",high,39,contexts/patterns/triz-intermediary/SKILL.md,"Use intermediary to enable indirect interaction - Practitioner 9/10, Clarity 8/10, ROI 8/10, Novelty 6/10, Cross-domain 8/10"
15,"Self-Service (TRIZ Principle)",mental-models,ARTIFACTS_READY,detailed,"Genrich Altshuller - TRIZ",high,39,contexts/patterns/triz-self-service/SKILL.md,"Make objects service/maintain themselves - Practitioner 9/10, Clarity 8/10, ROI 8/10, Novelty 6/10, Cross-domain 8/10"
16,"Blessing in Disguise (TRIZ Principle)",mental-models,VAGUE,one-liner,"Genrich Altshuller - TRIZ",medium,0,,"One of 40 TRIZ inventive principles"
17,"Contradiction Matrix",mental-models,ARTIFACTS_READY,detailed,"Genrich Altshuller - TRIZ",high,46,contexts/patterns/triz-contradiction-matrix/SKILL.md,"39x39 matrix for resolving technical contradictions - Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 8/10, Cross-domain 10/10"
18,"Lateral Thinking",mental-models,KNOWN,detailed,"Edward de Bono",high,0,,"Includes: Random entry, provocation (PO operator), challenge/escape, reversal method, fractionation. See also Six Thinking Hats"
19,"Random Entry",mental-models,VAGUE,one-liner,"Edward de Bono - Lateral Thinking",medium,0,,"Lateral thinking technique"
20,"Provocation (PO Operator)",mental-models,VAGUE,one-liner,"Edward de Bono - Lateral Thinking",medium,0,,"Lateral thinking technique"
21,"Challenge/Escape",mental-models,VAGUE,one-liner,"Edward de Bono - Lateral Thinking",medium,0,,"Lateral thinking technique"
22,"Reversal Method",mental-models,VAGUE,one-liner,"Edward de Bono - Lateral Thinking",medium,0,,"Lateral thinking technique"
23,"Fractionation",mental-models,VAGUE,one-liner,"Edward de Bono - Lateral Thinking",medium,0,,"Lateral thinking technique"
24,"Six Thinking Hats",mental-models,ARTIFACTS_READY,detailed,"Edward de Bono",high,43,contexts/patterns/six-thinking-hats/SKILL.md,"Parallel thinking with 6 colored perspectives - Practitioner 8/10, Clarity 10/10, ROI 8/10, Novelty 7/10, Cross-domain 10/10"
25,"Analogical Reasoning",mental-models,ARTIFACTS_READY,detailed,"Gick & Holyoak",high,43,contexts/patterns/analogical-reasoning/SKILL.md,"Cross-domain solution transfer via structural mapping - Practitioner 7/10, Clarity 9/10, ROI 9/10, Novelty 8/10, Cross-domain 10/10"
26,"Schema Development",mental-models,VAGUE,one-liner,"Gick & Holyoak - Analogical Reasoning",medium,0,,"Pattern recognition for analogical reasoning"
27,"Gick & Holyoak Mapping Process",mental-models,VAGUE,one-liner,"Gick & Holyoak",medium,0,,"Mapping process for analogical reasoning"
28,"Theory of Constraints Thinking Processes",mental-models,ARTIFACTS_READY,detailed,"Eliyahu Goldratt",high,44,contexts/patterns/theory-of-constraints-thinking-processes/SKILL.md,"5 logic tools for bottleneck identification and breakthrough - Practitioner 10/10, Clarity 8/10, ROI 10/10, Novelty 7/10, Cross-domain 9/10"
29,"Work Breakdown Structure",mental-models,VAGUE,one-liner,"",medium,0,,"Constraint management technique"
30,"Value Stream Mapping",mental-models,VAGUE,one-liner,"Toyota Production System",high,0,,"Constraint management and process visualization"
31,"Constraint Relaxation",mental-models,UNKNOWN,one-liner,"",medium,0,,"Constraint management technique"
