id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
20,"Time Value of Money",mental-models,ARTIFACTS_READY,detailed,"Finance - NPV/DCF",high,45,contexts/patterns/time-value-of-money/SKILL.md,"Present money worth more than future - 74 lines"
21,"Diversification",mental-models,ARTIFACTS_READY,detailed,"Markowitz, Munger, Dalio, Taleb, Buffett",high,43,contexts/patterns/diversification/SKILL.md,"Don't put all eggs in one basket - 103 lines"
22,"Velocity",mental-models,ARTIFACTS_READY,detailed,"Physics - Newton, Grove, Thiel, Doerr, Bezos",high,44,contexts/patterns/velocity/SKILL.md,"Speed with direction - not just motion but progress - 103 lines"
23,"Inertia",mental-models,ARTIFACTS_READY,detailed,"Physics - Newton, Christensen, Grove, Clear, Moore",high,45,contexts/patterns/inertia/SKILL.md,"Objects resist changing state - requires disproportionate force - 103 lines"
24,"Momentum",mental-models,ARTIFACTS_READY,detailed,"Physics - Farnam Street",high,42,contexts/patterns/momentum/SKILL.md,"Motion builds on itself - 163 lines"
25,"Leverage",mental-models,ARTIFACTS_READY,detailed,"Physics - Archimedes, business strategy",high,46,contexts/patterns/leverage/SKILL.md,"Force multiplication through positioning - 179 lines"
26,"Friction",mental-models,ARTIFACTS_READY,detailed,"Physics - operations, UX design",high,44,contexts/patterns/friction/SKILL.md,"Resistance to motion and flow - 176 lines"
27,"Activation Energy",mental-models,ARTIFACTS_READY,detailed,"Chemistry - James Clear, behavior change",high,43,contexts/patterns/activation-energy/SKILL.md,"Energy barrier to starting - 203 lines"
28,"Critical Mass",mental-models,ARTIFACTS_READY,detailed,"Physics - Fermi, Moore, Andreessen, Chen, Gladwell",high,47,contexts/patterns/critical-mass/SKILL.md,"Threshold for self-sustaining growth - network effects - 103 lines"
29,"Relativity",mental-models,ARTIFACTS_READY,complete,"Physics - Einstein",high,43,"contexts/patterns/relativity/SKILL.md","SKILL.md generated 2025-12-10, 55 lines"
30,"Half-Life",mental-models,ARTIFACTS_READY,complete,"Physics",high,42,"contexts/patterns/half-life/SKILL.md","SKILL.md generated 2025-12-10, 57 lines"
31,"Thermodynamics - Entropy",mental-models,UNKNOWN,one-liner,"Physics",high,0,,"Disorder increases over time"
32,"Thermodynamics - Conservation",mental-models,UNKNOWN,one-liner,"Physics",medium,0,,"Energy cannot be created or destroyed"
33,"Equilibrium",mental-models,ARTIFACTS_READY,detailed,"Physics - Farnam Street",medium,41,contexts/patterns/equilibrium/SKILL.md,"Balance where opposing forces stabilize systems - 162 lines"
34,"Exponential Growth",mental-models,ARTIFACTS_READY,detailed,"Mathematics - Scott H Young, growth strategy",high,46,contexts/patterns/exponential-growth/SKILL.md,"Multiplicative increase creating compounding returns - 187 lines"
35,"Linear Growth",mental-models,ARTIFACTS_READY,detailed,"Mathematics - capacity planning",medium,39,contexts/patterns/linear-growth/SKILL.md,"Additive increase through repeatable processes - 203 lines"
36,"Compound Effects",mental-models,ARTIFACTS_READY,detailed,"Darren Hardy, James Clear",high,47,contexts/patterns/compound-effects/SKILL.md,"Small consistent actions accumulate dramatically - 242 lines"
37,"Power Laws",mental-models,ARTIFACTS_READY,detailed,"Mathematics - Pareto, Thiel, network science",high,43,contexts/patterns/power-laws/SKILL.md,"Non-linear relationships where vital few drive outcomes - 181 lines"
38,"Normal Distribution",mental-models,ARTIFACTS_READY,detailed,"Mathematics - Gaussian statistics, quality control",high,40,contexts/patterns/normal-distribution/SKILL.md,"Bell curve distribution for predictable variation - 195 lines"
39,"Fat Tails",mental-models,ARTIFACTS_READY,detailed,"Mathematics - Nassim Taleb, risk management",high,44,contexts/patterns/fat-tails/SKILL.md,"Extreme events occur far more than normal predicts - 205 lines"
40,"Regression to the Mean",mental-models,ARTIFACTS_READY,detailed,"Mathematics - Kahneman, statistics",high,44,contexts/patterns/regression-to-the-mean/SKILL.md,"Extreme results naturally followed by average ones - 234 lines"
41,"Probability",mental-models,ARTIFACTS_READY,detailed,"Mathematics - Farnam Street, Superforecasting",high,43,contexts/patterns/probability/SKILL.md,"Systematic approach to quantifying uncertainty - Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 5/10, Cross-domain 10/10 - 182 lines"
42,"Base Rates",mental-models,ARTIFACTS_READY,detailed,"Mathematics - Kahneman/Tversky, Superforecasting",high,44,contexts/patterns/base-rates/SKILL.md,"Statistical frequency in reference class for predictions - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10 - 191 lines"
43,"Expected Value",mental-models,ARTIFACTS_READY,detailed,"Mathematics - Poker, VC, Kelly Criterion",high,46,contexts/patterns/expected-value/SKILL.md,"Probability-weighted average for optimal decisions - Practitioner 10/10, Clarity 10/10, ROI 10/10, Novelty 6/10, Cross-domain 10/10 - 194 lines"
44,"Orders of Magnitude",mental-models,ARTIFACTS_READY,detailed,"Mathematics - Fermi Estimation",high,44,contexts/patterns/orders-of-magnitude/SKILL.md,"Powers of 10 thinking for rapid estimation - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10 - 191 lines"
45,"Vectors",mental-models,ARTIFACTS_READY,detailed,"Mathematics - Physics/Engineering",high,43,contexts/patterns/vectors/SKILL.md,"Direction and magnitude for strategic alignment - Practitioner 8/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10 - 186 lines"
46,"Resonance",mental-models,ARTIFACTS_READY,detailed,"Physics - Engineering/Acoustics",high,42,contexts/patterns/resonance/SKILL.md,"Amplification at natural frequency through timing - Practitioner 7/10, Clarity 9/10, ROI 8/10, Novelty 8/10, Cross-domain 10/10 - 204 lines"
47,"Phase Transitions",mental-models,ARTIFACTS_READY,detailed,"Physics - Thermodynamics/Critical Mass",high,45,contexts/patterns/phase-transitions/SKILL.md,"Sudden state change at critical thresholds - Practitioner 8/10, Clarity 10/10, ROI 9/10, Novelty 8/10, Cross-domain 10/10 - 229 lines"
48,"Chaos Theory",mental-models,ARTIFACTS_READY,detailed,"Mathematics - Edward Lorenz/Butterfly Effect",high,44,contexts/patterns/chaos-theory/SKILL.md,"Sensitive dependence on initial conditions - Practitioner 7/10, Clarity 9/10, ROI 9/10, Novelty 9/10, Cross-domain 10/10 - 247 lines"
49,"Natural Selection",mental-models,ARTIFACTS_READY,complete,"Biology - Darwin",high,49,"contexts/patterns/natural-selection/SKILL.md","SKILL.md generated 2025-12-10, 100 lines"
50,"Evolution",mental-models,ARTIFACTS_READY,complete,"Biology - Darwin",high,47,"contexts/patterns/evolution/SKILL.md","SKILL.md generated 2025-12-10, 58 lines"
51,"Adaptation",mental-models,ARTIFACTS_READY,complete,"Biology",high,42,"contexts/patterns/adaptation/SKILL.md","SKILL.md generated 2025-12-10, 54 lines"
52,"Survival of the Fittest",mental-models,UNKNOWN,one-liner,"Biology - Darwin",high,0,,"Best adapted survive"
53,"Red Queen Effect",mental-models,UNKNOWN,one-liner,"Biology - Van Valen",high,0,,"Running to stay in place"
54,"Ecosystems",mental-models,UNKNOWN,one-liner,"Biology",medium,0,,"Interconnected living systems"
55,"Niches",mental-models,UNKNOWN,one-liner,"Biology",high,0,,"Specialized environmental role"
56,"Symbiosis",mental-models,UNKNOWN,one-liner,"Biology",medium,0,,"Mutually beneficial relationship"
57,"Parasitism",mental-models,UNKNOWN,one-liner,"Biology",medium,0,,"One benefits at expense of other"
58,"Keystone Species",mental-models,UNKNOWN,one-liner,"Biology",medium,0,,"Disproportionate ecosystem impact"
59,"Biodiversity",mental-models,UNKNOWN,one-liner,"Biology",medium,0,,"Variety of life forms"
60,"Carrying Capacity",mental-models,UNKNOWN,one-liner,"Biology",medium,0,,"Maximum sustainable population"
61,"Replication",mental-models,UNKNOWN,one-liner,"Biology",medium,0,,"Making copies"
62,"Self-Preservation",mental-models,UNKNOWN,one-liner,"Biology",medium,0,,"Survival instinct"
63,"Homeostasis",mental-models,UNKNOWN,one-liner,"Biology",medium,0,,"Maintaining stable internal state"
64,"Cooperation",mental-models,UNKNOWN,one-liner,"Biology",medium,0,,"Working together for mutual benefit"
65,"Hormesis",mental-models,UNKNOWN,one-liner,"Biology",medium,0,,"Beneficial stress response"
66,"Catalysts",mental-models,UNKNOWN,one-liner,"Chemistry",high,0,,"Accelerate reactions without being consumed"
67,"Activation Energy (Chemistry)",mental-models,UNKNOWN,one-liner,"Chemistry",medium,0,,"Energy needed to start chemical reaction"
68,"Phase Transitions (Chemistry)",mental-models,UNKNOWN,one-liner,"Chemistry",medium,0,,"State changes in matter"
69,"Equilibrium (Chemistry)",mental-models,UNKNOWN,one-liner,"Chemistry",medium,0,,"Balance in chemical reactions"
70,"Alloying",mental-models,UNKNOWN,one-liner,"Chemistry",medium,0,,"Combinations greater than sum of parts"
71,"Half-Life Decay",mental-models,UNKNOWN,one-liner,"Chemistry",medium,0,,"Radioactive decay rate"
72,"Solubility",mental-models,UNKNOWN,one-liner,"Chemistry",low,0,,"Ability to dissolve"
73,"Concentration",mental-models,UNKNOWN,one-liner,"Chemistry",low,0,,"Amount per unit volume"
74,"Chain Reactions",mental-models,UNKNOWN,one-liner,"Chemistry",medium,0,,"Self-sustaining reactions"
75,"Limiting Reagents",mental-models,UNKNOWN,one-liner,"Chemistry",medium,0,,"Constraining factor in reactions"
76,"Margin of Safety",mental-models,UNKNOWN,one-liner,"Engineering - Benjamin Graham",high,0,,"Buffer against errors"
77,"Redundancy",mental-models,UNKNOWN,one-liner,"Engineering",high,0,,"Backup systems"
78,"Stress Testing",mental-models,UNKNOWN,one-liner,"Engineering",medium,0,,"Testing under extreme conditions"
79,"Fail-Safes",mental-models,UNKNOWN,one-liner,"Engineering",medium,0,,"Automatic safety mechanisms"
80,"Modularity",mental-models,UNKNOWN,one-liner,"Engineering",high,0,,"Independent interchangeable components"
81,"Tight Coupling",mental-models,UNKNOWN,one-liner,"Engineering",medium,0,,"Strong interdependencies"
82,"Loose Coupling",mental-models,UNKNOWN,one-liner,"Engineering",medium,0,,"Weak interdependencies"
83,"Feedback Control",mental-models,UNKNOWN,one-liner,"Engineering",high,0,,"Self-regulating systems"
84,"Bottlenecks",mental-models,UNKNOWN,one-liner,"Engineering",high,0,,"Constraining points in flow"
85,"Emergence",mental-models,UNKNOWN,one-liner,"Engineering/Systems",high,0,,"Complex behavior from simple rules"
86,"Iteration",mental-models,UNKNOWN,one-liner,"Engineering",high,0,,"Repeated refinement cycles"
87,"Optimization",mental-models,UNKNOWN,one-liner,"Engineering",medium,0,,"Maximizing efficiency"
88,"Scalability",mental-models,UNKNOWN,one-liner,"Engineering",high,0,,"Ability to grow"
89,"Tolerance",mental-models,UNKNOWN,one-liner,"Engineering",medium,0,,"Acceptable variation range"
