id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
26,"Platform Network Effects",mental-models,ARTIFACTS_READY,complete,"NFX - James Currier Network Effects Manual",high,43,"contexts/patterns/platform-network-effects/SKILL.md","SKILL.md generated 2025-12-10, 101 lines"
27,"Asymptotic Marketplace Effects",mental-models,ARTIFACTS_READY,complete,"NFX - James Currier Network Effects Manual",high,42,"contexts/patterns/asymptotic-marketplace-effects/SKILL.md","SKILL.md generated 2025-12-10, 103 lines"
28,"Data Network Effects",mental-models,ARTIFACTS_READY,complete,"NFX (James Currier), Matt Turck, Academy of Management Review",high,42,"contexts/patterns/data-network-effects/SKILL.md","SKILL.md generated 2025-12-10, 181 lines"
29,"Language Network Effects",mental-models,ARTIFACTS_READY,complete,"NFX - James Currier Network Effects Manual",high,45,"contexts/patterns/language-network-effects/SKILL.md","SKILL.md generated 2025-12-10, 105 lines"
30,"Belief Network Effects",mental-models,ARTIFACTS_READY,complete,"Network effects category",medium,39,"contexts/patterns/belief-network-effects/SKILL.md","SKILL.md generated 2025-12-10, 96 lines"
31,"Bandwagon Effects",mental-models,ARTIFACTS_READY,complete,"Network effects category",medium,40,"contexts/patterns/bandwagon-effects/SKILL.md","SKILL.md generated 2025-12-10, 66 lines"
32,"Power Laws",mental-models,ARTIFACTS_READY,complete,"M.E.J. Newman (Physics), Vilfredo Pareto, George Zipf",high,43,"contexts/patterns/power-laws/SKILL.md","SKILL.md generated 2025-12-10, 178 lines"
33,"Scale-Free Networks",mental-models,ARTIFACTS_READY,complete,"Albert-László Barabási, Réka Albert (Nature, Science), Santa Fe Institute",high,41,"contexts/patterns/scale-free-networks/SKILL.md","SKILL.md generated 2025-12-10, 198 lines"
34,"Scaling Laws",mental-models,ARTIFACTS_READY,complete,"Geoffrey West (Santa Fe Institute), Scale: The Universal Laws of Growth (2017)",high,44,"contexts/patterns/scaling-laws/SKILL.md","SKILL.md generated 2025-12-10, 217 lines"
35,"Small-World Networks",mental-models,ARTIFACTS_READY,complete,"Duncan Watts & Steven Strogatz (Nature 1998), Santa Fe Institute",high,45,"contexts/patterns/small-world-networks/SKILL.md","SKILL.md generated 2025-12-10, 144 lines"
36,"Computational Mechanics",mental-models,ARTIFACTS_READY,complete,"James P. Crutchfield (Santa Fe Institute), Cosma Shalizi",medium,37,"contexts/patterns/computational-mechanics/SKILL.md","SKILL.md generated 2025-12-10, 155 lines"
37,"Autocatalytic Sets",mental-models,ARTIFACTS_READY,complete,"Stuart Kauffman (Santa Fe Institute), The Origins of Order (1993)",medium,35,"contexts/patterns/autocatalytic-sets/SKILL.md","SKILL.md generated 2025-12-10, 162 lines"
38,"First Principles Reasoning",mental-models,ARTIFACTS_READY,complete,"Aristotle (Physics), Elon Musk, Johannes Gutenberg, John Boyd",high,46,"contexts/patterns/first-principles-reasoning/SKILL.md","SKILL.md updated 2025-12-10, 166 lines (from 87)"
39,"Mental Models Catalog",mental-models,ARTIFACTS_READY,complete,"Charlie Munger - Poor Charlie's Almanack",high,47,"contexts/patterns/mental-models-catalog/SKILL.md","SKILL.md generated 2025-12-10, 125 lines"
40,"Causal Loop Diagrams",mental-models,ARTIFACTS_READY,complete,"System dynamics practice - Donella Meadows, MIT",high,43,"contexts/patterns/causal-loop-diagrams/SKILL.md","SKILL.md generated 2025-12-10, 144 lines"
41,"Stock and Flow Diagrams",mental-models,ARTIFACTS_READY,complete,"Donella Meadows, Jay Forrester - System Dynamics",high,43,"contexts/patterns/stock-and-flow-diagrams/SKILL.md","SKILL.md generated 2025-12-10, 192 lines"
42,"OGSM Framework",mental-models,ARTIFACTS_READY,complete,"P&G, Mars, Coca-Cola - Japanese strategic planning",high,44,"contexts/patterns/ogsm-framework/SKILL.md","SKILL.md generated 2025-12-10, 182 lines"
43,"Hoshin Kanri",mental-models,ARTIFACTS_READY,complete,"Toyota - Japanese strategic planning system",high,44,"contexts/patterns/hoshin-kanri/SKILL.md","SKILL.md generated 2025-12-10, 194 lines"
44,"Antifragility",mental-models,ARTIFACTS_READY,complete,"Nassim Taleb - Antifragile (2012)",high,44,"contexts/patterns/antifragility/SKILL.md","SKILL.md generated 2025-12-10, 220 lines"
45,"Black Swan Theory",mental-models,ARTIFACTS_READY,complete,"Nassim Taleb - The Black Swan (2007)",high,45,"contexts/patterns/black-swan-theory/SKILL.md","SKILL.md generated 2025-12-10, 214 lines"
46,"Thinking Fast and Slow",mental-models,ARTIFACTS_READY,complete,"Daniel Kahneman (2011) - Nobel Prize winner",high,46,"contexts/patterns/thinking-fast-and-slow/SKILL.md","SKILL.md generated 2025-12-10, 242 lines"
47,"Limits to Growth Model",mental-models,ARTIFACTS_READY,complete,"Meadows et al. - Limits to Growth",high,43,"contexts/patterns/limits-to-growth-model/SKILL.md","SKILL.md generated 2025-12-10, 78 lines"
48,"General Systems Theory",mental-models,ARTIFACTS_READY,complete,"Gerald Weinberg",high,43,"contexts/patterns/general-systems-theory/SKILL.md","SKILL.md generated 2025-12-10, 71 lines"
49,"Map Is Not the Territory",mental-models,ARTIFACTS_READY,complete,"Alfred Korzybski",high,42,"contexts/patterns/map-is-not-the-territory/SKILL.md","SKILL.md generated 2025-12-10, 64 lines"
50,"Principles-Based Thinking",mental-models,UNKNOWN,one-liner,"Ray Dalio - Principles",high,0,,"Life and work principles"
51,"Redundancy",mental-models,ARTIFACTS_READY,complete,"Reliability Engineering - Aerospace/Distributed Systems",high,45,"contexts/patterns/redundancy/SKILL.md","SKILL.md generated 2025-12-10, 138 lines - backup systems and fault tolerance"
52,"Modularity",mental-models,DUPLICATE,alias,"See: loose-coupling",high,0,,"DUPLICATE: covered by loose-coupling framework"
53,"Scalability",mental-models,DUPLICATE,alias,"See: scaling-laws, limits-to-growth-model",high,0,,"DUPLICATE: covered by scaling-laws and limits-to-growth-model"
54,"Feedback Control",mental-models,DUPLICATE,alias,"See: feedback-loops",high,0,,"DUPLICATE: covered by feedback-loops framework"
55,"Emergence",mental-models,DUPLICATE,alias,"See: complex-adaptive-systems",high,0,,"DUPLICATE: emergence is core concept in complex-adaptive-systems"
56,"Stress Testing",mental-models,ARTIFACTS_READY,complete,"Software Engineering - Netflix/Chaos Engineering",high,44,"contexts/patterns/stress-testing/SKILL.md","SKILL.md generated 2025-12-10, 160 lines - testing systems under pressure"
57,"Optimization",mental-models,DUPLICATE,alias,"See: performance-optimization-frameworks",high,0,,"DUPLICATE: covered by performance-optimization-frameworks"
58,"Tolerance",mental-models,DUPLICATE,alias,"See: margin-of-safety",high,0,,"DUPLICATE: covered by margin-of-safety framework"
