id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
11,"Test-Driven Development (TDD)",practitioner-frameworks,ARTIFACTS_READY,detailed,"Kent Beck - TDD By Example",high,45,contexts/patterns/test-driven-development/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 8/10, Cross-domain 9/10"
12,"Behavior-Driven Development (BDD)",practitioner-frameworks,ARTIFACTS_READY,detailed,"Dan North, Gherkin, Cucumber",high,45,contexts/patterns/behavior-driven-development/SKILL.md,"Practitioner 9/10, Clarity 10/10, ROI 9/10, Novelty 8/10, Cross-domain 9/10"
13,"Property-Based Testing",practitioner-frameworks,ARTIFACTS_READY,detailed,"QuickCheck, Hypothesis, John Hughes",high,43,contexts/patterns/property-based-testing/SKILL.md,"Practitioner 9/10, Clarity 8/10, ROI 9/10, Novelty 9/10, Cross-domain 8/10"
14,"MVC",practitioner-frameworks,ARTIFACTS_READY,detailed,"Trygve Reenskaug, Rails, Django, ASP.NET MVC",high,42,contexts/patterns/mvc/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 5/10, Cross-domain 9/10"
15,"MVVM",practitioner-frameworks,ARTIFACTS_READY,detailed,"John Gossman (Microsoft), Android Jetpack, SwiftUI",high,45,contexts/patterns/mvvm/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 7/10, Cross-domain 9/10"
16,"Clean Architecture",practitioner-frameworks,ARTIFACTS_READY,detailed,"Robert C. Martin - Clean Architecture",high,47,contexts/patterns/clean-architecture/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 8/10, Cross-domain 10/10"
17,"State Management Patterns",practitioner-frameworks,ARTIFACTS_READY,detailed,"Redux, MobX, Zustand, Flux",high,43,contexts/patterns/state-management-patterns/SKILL.md,"Practitioner 10/10, Clarity 8/10, ROI 9/10, Novelty 7/10, Cross-domain 9/10"
18,"Performance Optimization Frameworks",practitioner-frameworks,ARTIFACTS_READY,detailed,"Google Web Vitals, Netflix, RAIL model",high,45,contexts/patterns/performance-optimization-frameworks/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 7/10, Cross-domain 9/10"
19,"Cross-Platform Development Methodologies",practitioner-frameworks,ARTIFACTS_READY,detailed,"Flutter, React Native, Meta/Google",high,44,contexts/patterns/cross-platform-development-methodologies/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 7/10, Cross-domain 8/10"
20,"Backend-for-Frontend Pattern",practitioner-frameworks,ARTIFACTS_READY,detailed,"Sam Newman - Building Microservices, GraphQL",high,44,contexts/patterns/backend-for-frontend/SKILL.md,"Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 8/10, Cross-domain 9/10"
21,"Domain-Driven Design",practitioner-frameworks,ARTIFACTS_READY,detailed,"Eric Evans - Domain-Driven Design",high,47,contexts/patterns/domain-driven-design/SKILL.md,"Strategic design approach - Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 8/10, Cross-domain 10/10"
22,"Enterprise Patterns",practitioner-frameworks,ARTIFACTS_READY,detailed,"Martin Fowler - PoEAA",high,45,contexts/patterns/enterprise-patterns/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 6/10, Cross-domain 10/10"
23,"Loose Coupling",practitioner-frameworks,COMPLETE,detailed,"David Parnas, Edsger Dijkstra - Modular Programming",high,46,contexts/patterns/loose-coupling/SKILL.md,"SKILL.md generated 2025-12-10, 132 lines - Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 7/10, Cross-domain 10/10"
24,"Tight Coupling",practitioner-frameworks,COMPLETE,detailed,"Stevens, Myers, Constantine - Structured Design",medium,38,contexts/patterns/tight-coupling/SKILL.md,"SKILL.md generated 2025-12-10, 144 lines - Practitioner 8/10, Clarity 9/10, ROI 8/10, Novelty 5/10, Cross-domain 8/10"
25,"Retrospectives",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Esther Derby, Diana Larsen, Norman Kerth",high,45,contexts/patterns/retrospectives/SKILL.md,"Agile reflection framework - 291 lines - Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
26,"Blameless Postmortems",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Google SRE, Etsy, John Allspaw",high,48,contexts/patterns/blameless-postmortems/SKILL.md,"Incident analysis framework - 317 lines - Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 9/10, Cross-domain 10/10"
